cycle,train_start,train_end,test_start,test_end,regime,n_assets,total_return,annual_return,volatility,sharpe,max_drawdown,cvar_95
1,2015-01-05 00:00:00-05:00,2018-01-03 00:00:00-05:00,2018-01-04 00:00:00-05:00,2019-01-04 00:00:00-05:00,2,17,0.022176690987461223,0.022176690987461223,0.13953035989983661,0.15893810382516677,-0.15496199270272001,-0.02236061442609198
2,2016-01-05 00:00:00-05:00,2019-01-04 00:00:00-05:00,2019-01-07 00:00:00-05:00,2020-01-06 00:00:00-05:00,2,16,0.29024509796352027,0.29024509796352027,0.10114854983882486,2.869493389243028,-0.0425030548349607,-0.015624245383348601
3,2017-01-04 00:00:00-05:00,2020-01-06 00:00:00-05:00,2020-01-07 00:00:00-05:00,2021-01-05 00:00:00-05:00,2,15,0.06516415527497976,0.06516415527497976,0.34278556905595714,0.19010180406468746,-0.3495095687625972,-0.05475224820312474
4,2018-01-04 00:00:00-05:00,2021-01-05 00:00:00-05:00,2021-01-06 00:00:00-05:00,2022-01-04 00:00:00-05:00,1,10,0.1616361273452731,0.1616361273452731,0.11503444784579557,1.4051106339627653,-0.11761637513772097,-0.015662162557038867
5,2019-01-07 00:00:00-05:00,2022-01-04 00:00:00-05:00,2022-01-05 00:00:00-05:00,2023-01-05 00:00:00-05:00,2,14,0.015967946926289223,0.015967946926289223,0.17972145975004855,0.08884830370089739,-0.15121800321896967,-0.024049549443555397
6,2020-01-07 00:00:00-05:00,2023-01-05 00:00:00-05:00,2023-01-06 00:00:00-05:00,2024-01-08 00:00:00-05:00,0,7,-0.01984581619920789,-0.01984581619920789,0.12570946466929175,-0.15787049999414496,-0.1664087672548466,-0.01886250054508647
