cycle,train_start,train_end,test_start,test_end,regime,n_assets,total_return,annual_return,volatility,sharpe,max_drawdown,cvar_95
1,2015-01-05 00:00:00-05:00,2018-01-03 00:00:00-05:00,2018-01-04 00:00:00-05:00,2019-01-04 00:00:00-05:00,2,28,0.005209458456880478,0.005209458456880478,0.16586934691065502,0.03140699907789193,-0.17529915549094774,-0.02634268787075961
2,2016-01-05 00:00:00-05:00,2019-01-04 00:00:00-05:00,2019-01-07 00:00:00-05:00,2020-01-06 00:00:00-05:00,2,27,0.32929675370959455,0.32929675370959455,0.10841056287072383,3.037496918679166,-0.04969518234232648,-0.016200060702754683
3,2017-01-04 00:00:00-05:00,2020-01-06 00:00:00-05:00,2020-01-07 00:00:00-05:00,2021-01-05 00:00:00-05:00,2,31,0.20289102716009766,0.20289102716009766,0.33232591201213824,0.6105182268849647,-0.3274233564690546,-0.05228161652783311
4,2018-01-04 00:00:00-05:00,2021-01-05 00:00:00-05:00,2021-01-06 00:00:00-05:00,2022-01-04 00:00:00-05:00,1,14,0.3050405776563543,0.3050405776563543,0.15043378158440812,2.027739862787779,-0.12829705612957426,-0.02132301191152323
5,2019-01-07 00:00:00-05:00,2022-01-04 00:00:00-05:00,2022-01-05 00:00:00-05:00,2023-01-05 00:00:00-05:00,2,26,-0.11620478290715619,-0.11620478290715619,0.23009873269951633,-0.505021392507561,-0.18485374908076818,-0.03158325896691052
6,2020-01-07 00:00:00-05:00,2023-01-05 00:00:00-05:00,2023-01-06 00:00:00-05:00,2024-01-08 00:00:00-05:00,0,18,0.06029886973151011,0.06029886973151011,0.12352342400010526,0.4881573655479414,-0.11546463264128769,-0.01652209423167899
