cycle,train_start,train_end,test_start,test_end,regime,n_assets,total_return,annual_return,volatility,sharpe,max_drawdown,cvar_95
1,2015-01-05 00:00:00-05:00,2018-01-03 00:00:00-05:00,2018-01-04 00:00:00-05:00,2019-01-04 00:00:00-05:00,2,21,0.001756331289645141,0.001756331289645141,0.15339713712067937,0.011449570123423125,-0.15989327050106905,-0.02485585900452977
2,2016-01-05 00:00:00-05:00,2019-01-04 00:00:00-05:00,2019-01-07 00:00:00-05:00,2020-01-06 00:00:00-05:00,2,21,0.2951694727552854,0.2951694727552854,0.10914541565767301,2.704368921702538,-0.05428120017518939,-0.016878844109206297
3,2017-01-04 00:00:00-05:00,2020-01-06 00:00:00-05:00,2020-01-07 00:00:00-05:00,2021-01-05 00:00:00-05:00,2,21,0.15281846043526226,0.15281846043526226,0.32880785936337087,0.46476522874599197,-0.3297997179993389,-0.05217120655656705
4,2018-01-04 00:00:00-05:00,2021-01-05 00:00:00-05:00,2021-01-06 00:00:00-05:00,2022-01-04 00:00:00-05:00,1,10,0.1635490258851393,0.1635490258851393,0.11990207332728417,1.3640216551943598,-0.07766179118220357,-0.017645543229420673
5,2019-01-07 00:00:00-05:00,2022-01-04 00:00:00-05:00,2022-01-05 00:00:00-05:00,2023-01-05 00:00:00-05:00,2,21,0.010987251827027755,0.010987251827027755,0.18876540139759523,0.0582058559856503,-0.16160886109406106,-0.025225539132204097
6,2020-01-07 00:00:00-05:00,2023-01-05 00:00:00-05:00,2023-01-06 00:00:00-05:00,2024-01-08 00:00:00-05:00,0,10,0.03847914474271086,0.03847914474271086,0.10904653556906063,0.35286902228519196,-0.1069779986378253,-0.015041134921239109
