cycle,train_start,train_end,test_start,test_end,regime,n_assets,total_return,annual_return,volatility,sharpe,max_drawdown,cvar_95
1,2015-01-05 00:00:00-05:00,2018-01-03 00:00:00-05:00,2018-01-04 00:00:00-05:00,2019-01-04 00:00:00-05:00,2,18,0.032139867005686495,0.032139867005686495,0.15109349698692856,0.21271508988736887,-0.14750265829719555,-0.023974758532312995
2,2016-01-05 00:00:00-05:00,2019-01-04 00:00:00-05:00,2019-01-07 00:00:00-05:00,2020-01-06 00:00:00-05:00,2,17,0.29686780026532134,0.29686780026532134,0.1049127161642127,2.8296645849011277,-0.04777923046388002,-0.016382815509957547
3,2017-01-04 00:00:00-05:00,2020-01-06 00:00:00-05:00,2020-01-07 00:00:00-05:00,2021-01-05 00:00:00-05:00,2,18,0.12643238071562202,0.12643238071562202,0.3203785310639962,0.39463437172615207,-0.323876219515852,-0.05137445731177895
4,2018-01-04 00:00:00-05:00,2021-01-05 00:00:00-05:00,2021-01-06 00:00:00-05:00,2022-01-04 00:00:00-05:00,1,11,0.18049424867862318,0.18049424867862318,0.11141945741388566,1.6199526657915353,-0.08532139071599053,-0.015911490917528325
5,2019-01-07 00:00:00-05:00,2022-01-04 00:00:00-05:00,2022-01-05 00:00:00-05:00,2023-01-05 00:00:00-05:00,2,20,0.0030655564471213648,0.0030655564471213648,0.1824017143714374,0.01680662071011096,-0.15434668380928437,-0.02457230569415793
6,2020-01-07 00:00:00-05:00,2023-01-05 00:00:00-05:00,2023-01-06 00:00:00-05:00,2024-01-08 00:00:00-05:00,0,7,-0.006713272422275152,-0.006713272422275152,0.12206725209768735,-0.05499650604001623,-0.15494630756351216,-0.0183978029326535
