cycle,train_start,train_end,test_start,test_end,regime,n_assets,total_return,annual_return,volatility,sharpe,max_drawdown,cvar_95
1,2015-01-05 00:00:00-05:00,2018-01-03 00:00:00-05:00,2018-01-04 00:00:00-05:00,2019-01-04 00:00:00-05:00,2,39,0.012238488496242317,0.012238488496242317,0.1633752691302033,0.07491028774727503,-0.1697672184393955,-0.025772924128793156
2,2016-01-05 00:00:00-05:00,2019-01-04 00:00:00-05:00,2019-01-07 00:00:00-05:00,2020-01-06 00:00:00-05:00,2,35,0.3635764710421716,0.3635764710421716,0.11458800474267933,3.1729016373548276,-0.05417504488287627,-0.017249168828983977
3,2017-01-04 00:00:00-05:00,2020-01-06 00:00:00-05:00,2020-01-07 00:00:00-05:00,2021-01-05 00:00:00-05:00,2,38,0.19517647516589753,0.19517647516589753,0.3311058562343159,0.5894685065259225,-0.32823223032858245,-0.05232728010407683
4,2018-01-04 00:00:00-05:00,2021-01-05 00:00:00-05:00,2021-01-06 00:00:00-05:00,2022-01-04 00:00:00-05:00,1,29,0.3866754402587853,0.3866754402587853,0.15557460245189578,2.485466340130166,-0.10266785426663974,-0.021777059000761823
5,2019-01-07 00:00:00-05:00,2022-01-04 00:00:00-05:00,2022-01-05 00:00:00-05:00,2023-01-05 00:00:00-05:00,2,35,-0.09684796376391602,-0.09684796376391602,0.21971510171486755,-0.4407888332082443,-0.1724212867597155,-0.0303461261253408
6,2020-01-07 00:00:00-05:00,2023-01-05 00:00:00-05:00,2023-01-06 00:00:00-05:00,2024-01-08 00:00:00-05:00,0,33,0.3557862085764232,0.3557862085764232,0.14510886007313328,2.451857219092298,-0.11528995624391754,-0.017752577395536775
