date,regime,prob_regime_0,prob_regime_1,prob_regime_2
2015-01-01,2,0.0,5.681592040334907e-45,1.0
2015-02-01,2,7.019544112725705e-72,2.056068280183164e-11,0.9999999999794227
2015-03-01,2,1.8445554970410152e-70,1.9576930526269455e-12,0.9999999999980673
2015-04-01,2,4.003790551452742e-71,4.9114321861823226e-11,0.9999999999508873
2015-05-01,2,1.5071823833541556e-71,9.130605217203384e-15,1.0
2015-06-01,2,3.066853060523663e-67,7.58045816472687e-18,1.0
2015-07-01,2,1.463940200921207e-66,3.2483844311061657e-17,1.0
2015-08-01,2,1.3264356835632054e-66,1.914306987393338e-14,1.0
2015-09-01,2,1.5368421549011028e-66,6.8278746277345e-14,0.9999999999999432
2015-10-01,2,1.5111627790166794e-66,3.8804965134682795e-13,0.9999999999996021
2015-11-01,2,4.0757920712161646e-66,3.6019031151462273e-16,1.0
2015-12-01,2,3.085142216570468e-64,6.128575511529003e-16,1.0
2016-01-01,2,1.8315840761074284e-63,2.764651033351953e-13,0.9999999999997158
2016-02-01,2,1.1056125291281577e-65,2.7205769051790994e-09,0.9999999972794171
2016-03-01,2,2.4424860971815487e-65,3.811751567668626e-11,0.9999999999618581
2016-04-01,2,1.1383616735121402e-66,3.865526368853342e-10,0.9999999996134648
2016-05-01,2,2.0483417745865205e-64,2.5643767962201144e-10,0.9999999997435793
2016-06-01,2,3.0561694192038796e-66,3.481687163946865e-08,0.9999999651831223
2016-07-01,2,1.158467590780077e-66,4.3770249686444335e-07,0.9999995622975283
2016-08-01,2,7.44565385454973e-67,1.1975342091689928e-07,0.9999998802465556
2016-09-01,2,6.63440371777339e-67,2.8361121232663755e-08,0.9999999716388861
2016-10-01,2,3.5682771275864296e-65,8.637517993023257e-10,0.9999999991362643
2016-11-01,2,4.115959841724538e-61,3.2907332818565687e-15,1.0
2016-12-01,2,7.191792147011299e-58,3.229607060803669e-22,1.0
2017-01-01,2,2.8587614155620143e-57,6.989435138062489e-22,1.0
2017-02-01,2,1.1025197816234555e-56,8.119910788660049e-22,1.0
2017-03-01,2,4.0445922389554824e-54,2.9563442634229277e-24,1.0
2017-04-01,2,4.63824386573915e-54,3.7416159227336485e-22,1.0
2017-05-01,2,3.018938974743915e-54,2.897639346028342e-22,1.0
2017-06-01,2,1.889041839991816e-53,4.0625201360841564e-22,1.0
2017-07-01,2,1.047750381972336e-51,5.489548190808276e-26,1.0
2017-08-01,2,1.9306095905451786e-52,2.9127566963392564e-24,1.0
2017-09-01,2,1.967293851625354e-52,6.247949018879502e-24,1.0
2017-10-01,2,3.642130596167532e-51,1.0334052241882825e-26,1.0
2017-11-01,2,4.536457385233743e-51,1.0614895663147357e-26,1.0
2017-12-01,2,2.349901056088735e-49,5.36573352996614e-30,1.0
2018-01-01,2,4.608633421235376e-47,1.3006080121755715e-35,1.0
2018-02-01,2,8.926561522851398e-46,2.592498384432954e-41,1.0
2018-03-01,2,1.5381529452322022e-44,4.536038561512564e-43,1.0
