step,portfolio_value,returns
0,1000000.0,0.0
1,998776.335703545,-0.001223664296454983
2,999516.6899013872,0.0007412612527715474
3,1000987.4092809453,0.0014714305367959522
4,1001966.1854368596,0.0009778106565969653
5,1001679.4428849455,-0.0002861798692228786
6,1000204.7881022397,-0.0014721823365553535
7,1000165.3931028723,-3.938693339207536e-05
8,1001446.676778688,0.0012810717953764378
9,1002689.2515108075,0.0012407797249040812
10,1001582.9732378996,-0.001103311191618996
11,1001921.7835105403,0.00033827479269677005
12,1002143.5506805057,0.0002213417989460233
13,1002607.3514223063,0.0004628086879226322
14,1000805.0745577578,-0.0017975899159244377
15,1001696.9746609153,0.0008911826346919965
16,1001874.7777087543,0.00017750183172826118
17,1003783.6003581543,0.0019052507278059043
18,1004439.236915027,0.0006531652406343507
19,1003479.2388544299,-0.0009557552366687565
20,1002230.8262283866,-0.0012440841600953269
21,999875.793652263,-0.002349790601618295
22,998528.0614103826,-0.0013478996595742132
23,998746.46647498,0.0002187270173347836
24,999507.0222415421,0.0007615103453096115
25,999326.726343659,-0.00018038482358912302
26,999413.7067027509,8.703896013082051e-05
27,1001311.9752818262,0.0018993821741129426
28,1002647.0271413885,0.0013333025995085354
29,1002938.7578423717,0.0002909605205881309
30,1002711.8170856576,-0.00022627578697058927
31,1001894.3754496133,-0.0008152308790178231
32,1000548.9842780257,-0.0013428473146022695
33,1000732.9762038101,0.000183890972531596
34,999661.6365437814,-0.0010705549687117578
35,998619.7865075549,-0.001042202679527171
36,995741.8313257971,-0.002881932864381543
37,995790.0757543807,4.845074000687646e-05
38,997566.5087660592,0.0017839432777362646
39,994101.7285993181,-0.0034732322469675472
40,992801.4132693462,-0.0013080304485577892
41,992921.008123182,0.00012046201006294951
42,993127.1460301323,0.00020760755917528423
43,991924.2429516058,-0.0012112276694226966
44,989907.4329051467,-0.002033229917294681
45,988638.1379825646,-0.0012822359751931784
46,989246.1065039159,0.0006149555615888546
47,988064.3178011149,-0.001194635687753711
48,990130.8060929286,0.0020914511885345884
49,989066.0770388618,-0.001075341810915121
50,990341.565666003,0.00128958889274605
51,990833.9750390886,0.0004972116592465268
52,991474.2716358113,0.0006462198641275068
53,991568.6922390566,9.523252992685476e-05
54,991547.1185859424,-2.1757093868534035e-05
55,989237.8257693651,-0.0023289794032891487
56,989668.8307527283,0.00043569399808180575
57,990379.4937185241,0.0007180815882170603
58,989049.2369997036,-0.0013431787786981537
59,988310.8695224385,-0.0007465426893254774
60,986563.8259899619,-0.0017677064842166843
61,988304.3917677681,0.0017642708276473192
62,990305.3883686289,0.0020246764231024897
63,989697.9562781733,-0.0006133785573522065
64,989787.0648381922,9.003611602274973e-05
65,990986.0926340774,0.0012113997429146419
66,990180.0095375642,-0.0008134151452827929
67,988604.8083345557,-0.0015908230703871563
68,987712.7434845053,-0.0009023472701424375
69,987522.8798086843,-0.00019222560109043377
70,984898.5772182737,-0.002657460038717386
71,985912.5507086038,0.0010295207179545358
72,986681.5902812432,0.0007800281800720155
73,986186.3536873426,-0.0005019213886005876
74,986292.3406338767,0.00010747152010149833
75,988365.1362084947,0.0021016036414576267
